GPS Location:,Unlocked
Y Axis Scale,LIN
Y Axis Unit,dBmV
Impedance,50
Number of Points,461
Sweep Time(s),5.017803,AUTO
Start Frequency,1800000
Stop Frequency,3500000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-80
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
1800000,-105.718276977539
1803695.65217391,-106.948753356934
1807391.30434783,-105.528480529785
1811086.95652174,-105.392234802246
1814782.60869565,-103.997032165527
1818478.26086957,-105.796340942383
1822173.91304348,-106.538902282715
1825869.56521739,-105.249946594238
1829565.2173913,-106.82341003418
1833260.86956522,-106.475440979004
1836956.52173913,-104.568489074707
1840652.17391304,-105.626655578613
1844347.82608696,-105.455581665039
1848043.47826087,-104.765007019043
1851739.13043478,-105.791526794434
1855434.7826087,-106.288841247559
1859130.43478261,-106.346504211426
1862826.08695652,-105.584686279297
1866521.73913043,-105.086524963379
1870217.39130435,-106.205856323242
1873913.04347826,-101.919128417969
1877608.69565217,-104.79076385498
1881304.34782609,-105.643218994141
1885000,-106.282691955566
1888695.65217391,-106.421936035156
1892391.30434783,-105.746124267578
1896086.95652174,-106.008819580078
1899782.60869565,-105.981750488281
1903478.26086957,-105.694038391113
1907173.91304348,-105.153656005859
1910869.56521739,-106.472152709961
1914565.2173913,-104.142936706543
1918260.86956522,-106.058815002441
1921956.52173913,-106.302825927734
1925652.17391304,-106.669273376465
1929347.82608696,-105.647415161133
1933043.47826087,-104.840606689453
1936739.13043478,-106.451972961426
1940434.7826087,-105.586036682129
1944130.43478261,-105.295166015625
1947826.08695652,-105.682807922363
1951521.73913043,-106.330108642578
1955217.39130435,-106.670318603516
1958913.04347826,-105.894218444824
1962608.69565217,-104.861915588379
1966304.34782609,-104.683097839355
1970000,-106.778778076172
1973695.65217391,-105.884956359863
1977391.30434783,-106.229080200195
1981086.95652174,-105.677589416504
1984782.60869565,-106.139221191406
1988478.26086957,-105.7490234375
1992173.91304348,-104.899955749512
1995869.56521739,-103.731597900391
1999565.2173913,-106.36767578125
2003260.86956522,-105.081321716309
2006956.52173913,-106.629501342773
2010652.17391304,-105.846168518066
2014347.82608696,-106.163475036621
2018043.47826087,-106.094635009766
2021739.13043478,-106.026741027832
2025434.7826087,-105.371109008789
2029130.43478261,-105.218551635742
2032826.08695652,-105.81175994873
2036521.73913043,-105.071044921875
2040217.39130435,-103.900840759277
2043913.04347826,-103.7763671875
2047608.69565217,-106.140167236328
2051304.34782609,-105.801582336426
2055000,-106.218910217285
2058695.65217391,-105.662574768066
2062391.30434783,-104.391311645508
2066086.95652174,-105.732719421387
2069782.60869565,-106.113975524902
2073478.26086957,-106.157592773438
2077173.91304348,-104.016380310059
2080869.56521739,-104.821281433105
2084565.2173913,-105.231239318848
2088260.86956522,-105.34464263916
2091956.52173913,-105.386497497559
2095652.17391304,-105.641242980957
2099347.82608696,-105.130760192871
2103043.47826087,-104.955619812012
2106739.13043478,-106.150238037109
2110434.7826087,-105.197784423828
2114130.43478261,-100.698181152344
2117826.08695652,-100.711486816406
2121521.73913043,-105.19994354248
2125217.39130435,-106.428077697754
2128913.04347826,-106.022338867188
2132608.69565217,-104.763656616211
2136304.34782609,-106.268135070801
2140000,-104.935501098633
2143695.65217391,-103.193542480469
2147391.30434783,-106.033592224121
2151086.95652174,-106.145492553711
2154782.60869565,-104.873550415039
2158478.26086957,-102.995544433594
2162173.91304348,-104.381233215332
2165869.56521739,-106.166038513184
2169565.2173913,-105.165794372559
2173260.86956522,-105.010467529297
2176956.52173913,-105.764869689941
2180652.17391304,-103.83024597168
2184347.82608696,-104.183456420898
2188043.47826087,-103.640434265137
2191739.13043478,-103.624984741211
2195434.7826087,-96.4839630126953
2199130.43478261,-96.9333343505859
2202826.08695652,-103.933631896973
2206521.73913043,-97.7805099487305
2210217.39130435,-99.5381011962891
2213913.04347826,-96.5562973022461
2217608.69565217,-91.0207214355469
2221304.34782609,-96.4298095703125
2225000,-90.4146270751953
2228695.65217391,-95.4064254760742
2232391.30434783,-89.9102630615234
2236086.95652174,-101.820175170898
2239782.60869565,-90.0136184692383
2243478.26086957,-90.5807876586914
2247173.91304348,-100.089988708496
2250869.56521739,-102.553588867188
2254565.2173913,-103.357444763184
2258260.86956522,-94.9197235107422
2261956.52173913,-94.4493103027344
2265652.17391304,-101.910453796387
2269347.82608696,-102.072982788086
2273043.47826087,-104.016876220703
2276739.13043478,-104.486503601074
2280434.7826087,-104.09253692627
2284130.43478261,-103.808250427246
2287826.08695652,-99.3337783813477
2291521.73913043,-97.1014251708984
2295217.39130435,-102.600761413574
2298913.04347826,-103.266731262207
2302608.69565217,-104.690475463867
2306304.34782609,-104.863555908203
2310000,-104.605491638184
2313695.65217391,-104.891387939453
2317391.30434783,-102.762641906738
2321086.95652174,-104.340133666992
2324782.60869565,-105.395965576172
2328478.26086957,-105.86865234375
2332173.91304348,-105.086296081543
2335869.56521739,-106.363121032715
2339565.2173913,-104.82071685791
2343260.86956522,-103.18383026123
2346956.52173913,-105.192344665527
2350652.17391304,-105.000343322754
2354347.82608696,-105.481872558594
2358043.47826087,-105.507843017578
2361739.13043478,-104.526611328125
2365434.7826087,-104.237464904785
2369130.43478261,-105.113578796387
2372826.08695652,-104.152534484863
2376521.73913043,-103.93953704834
2380217.39130435,-104.040908813477
2383913.04347826,-104.982818603516
2387608.69565217,-105.111968994141
2391304.34782609,-105.058502197266
2395000,-104.361358642578
2398695.65217391,-102.640815734863
2402391.30434783,-103.363494873047
2406086.95652174,-105.292877197266
2409782.60869565,-104.439186096191
2413478.26086957,-105.884689331055
2417173.91304348,-104.706039428711
2420869.56521739,-105.16446685791
2424565.2173913,-105.425880432129
2428260.86956522,-104.79133605957
2431956.52173913,-105.420455932617
2435652.17391304,-105.053276062012
2439347.82608696,-104.332832336426
2443043.47826087,-105.535919189453
2446739.13043478,-105.204452514648
2450434.7826087,-103.6552734375
2454130.43478261,-104.961280822754
2457826.08695652,-104.293807983398
2461521.73913043,-103.58528137207
2465217.39130435,-105.933059692383
2468913.04347826,-104.377685546875
2472608.69565217,-105.463554382324
2476304.34782609,-105.395500183105
2480000,-105.37752532959
2483695.65217391,-104.024185180664
2487391.30434783,-104.989181518555
2491086.95652174,-104.194938659668
2494782.60869565,-105.211334228516
2498478.26086957,-105.754684448242
2502173.91304348,-105.03099822998
2505869.56521739,-105.212295532227
2509565.2173913,-104.157112121582
2513260.86956522,-104.860366821289
2516956.52173913,-105.051528930664
2520652.17391304,-104.382537841797
2524347.82608696,-104.945747375488
2528043.47826087,-104.212532043457
2531739.13043478,-105.382911682129
2535434.7826087,-104.824821472168
2539130.43478261,-105.281707763672
2542826.08695652,-104.711837768555
2546521.73913043,-104.756759643555
2550217.39130435,-104.647201538086
2553913.04347826,-104.131454467773
2557608.69565217,-104.334259033203
2561304.34782609,-104.685897827148
2565000,-104.910125732422
2568695.65217391,-104.824523925781
2572391.30434783,-103.992279052734
2576086.95652174,-105.566261291504
2579782.60869565,-103.199203491211
2583478.26086957,-104.393058776855
2587173.91304348,-104.894813537598
2590869.56521739,-104.911804199219
2594565.2173913,-104.403533935547
2598260.86956522,-106.015472412109
2601956.52173913,-104.857192993164
2605652.17391304,-104.387138366699
2609347.82608696,-104.117713928223
2613043.47826087,-105.387062072754
2616739.13043478,-104.313751220703
2620434.7826087,-104.536376953125
2624130.43478261,-103.858963012695
2627826.08695652,-105.573791503906
2631521.73913043,-104.197814941406
2635217.39130435,-104.72021484375
2638913.04347826,-103.457382202148
2642608.69565217,-105.135711669922
2646304.34782609,-104.623291015625
2650000,-103.887268066406
2653695.65217391,-103.721572875977
2657391.30434783,-104.451171875
2661086.95652174,-105.090316772461
2664782.60869565,-106.550247192383
2668478.26086957,-104.622467041016
2672173.91304348,-104.236862182617
2675869.56521739,-104.022094726563
2679565.2173913,-104.648857116699
2683260.86956522,-104.474830627441
2686956.52173913,-104.788291931152
2690652.17391304,-104.251136779785
2694347.82608696,-104.08203125
2698043.47826087,-104.029876708984
2701739.13043478,-104.692459106445
2705434.7826087,-104.332374572754
2709130.43478261,-104.237663269043
2712826.08695652,-103.040702819824
2716521.73913043,-105.680274963379
2720217.39130435,-105.781776428223
2723913.04347826,-103.865737915039
2727608.69565217,-103.971168518066
2731304.34782609,-103.074211120605
2735000,-103.616516113281
2738695.65217391,-105.03791809082
2742391.30434783,-103.836334228516
2746086.95652174,-104.092712402344
2749782.60869565,-103.968643188477
2753478.26086957,-103.939590454102
2757173.91304348,-105.269836425781
2760869.56521739,-103.988800048828
2764565.2173913,-104.942428588867
2768260.86956522,-104.811340332031
2771956.52173913,-104.512115478516
2775652.17391304,-104.447341918945
2779347.82608696,-103.069107055664
2783043.47826087,-104.309356689453
2786739.13043478,-104.687149047852
2790434.7826087,-103.136871337891
2794130.43478261,-104.538375854492
2797826.08695652,-104.447662353516
2801521.73913043,-104.312774658203
2805217.39130435,-104.321929931641
2808913.04347826,-103.969848632813
2812608.69565217,-104.180351257324
2816304.34782609,-104.058197021484
2820000,-104.007164001465
2823695.65217391,-104.882743835449
2827391.30434783,-103.512603759766
2831086.95652174,-105.614585876465
2834782.60869565,-104.31217956543
2838478.26086957,-105.531776428223
2842173.91304348,-104.690284729004
2845869.56521739,-104.249351501465
2849565.2173913,-104.461166381836
2853260.86956522,-104.31201171875
2856956.52173913,-104.974090576172
2860652.17391304,-104.694412231445
2864347.82608696,-104.711456298828
2868043.47826087,-103.619361877441
2871739.13043478,-103.916122436523
2875434.7826087,-104.24048614502
