GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.896786,AUTO
Start Frequency,2420000
Stop Frequency,2724000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
2420000,-104.448440551758
2420660.86956522,-104.15160369873
2421321.73913043,-103.406227111816
2421982.60869565,-103.418167114258
2422643.47826087,-104.775764465332
2423304.34782609,-103.06282043457
2423965.2173913,-103.336097717285
2424626.08695652,-103.238868713379
2425286.95652174,-103.587882995605
2425947.82608696,-105.125961303711
2426608.69565217,-105.013114929199
2427269.56521739,-102.92357635498
2427930.43478261,-102.116401672363
2428591.30434783,-103.575744628906
2429252.17391304,-103.908279418945
2429913.04347826,-104.480445861816
2430573.91304348,-102.696533203125
2431234.7826087,-102.997344970703
2431895.65217391,-102.660667419434
2432556.52173913,-103.072082519531
2433217.39130435,-102.786361694336
2433878.26086957,-103.631057739258
2434539.13043478,-102.680320739746
2435200,-102.078811645508
2435860.86956522,-104.24626159668
2436521.73913043,-103.320014953613
2437182.60869565,-104.210090637207
2437843.47826087,-103.983489990234
2438504.34782609,-101.824020385742
2439165.2173913,-102.417686462402
2439826.08695652,-103.963424682617
2440486.95652174,-104.10570526123
2441147.82608696,-103.150405883789
2441808.69565217,-102.738754272461
2442469.56521739,-103.47998046875
2443130.43478261,-103.068916320801
2443791.30434783,-104.665473937988
2444452.17391304,-104.212036132813
2445113.04347826,-103.031219482422
2445773.91304348,-101.824340820313
2446434.7826087,-103.052932739258
2447095.65217391,-103.002632141113
2447756.52173913,-104.085227966309
2448417.39130435,-103.822784423828
2449078.26086957,-102.372161865234
2449739.13043478,-100.20499420166
2450400,-100.814094543457
2451060.86956522,-103.547790527344
2451721.73913043,-102.276145935059
2452382.60869565,-102.246467590332
2453043.47826087,-103.111000061035
2453704.34782609,-101.55859375
2454365.2173913,-100.79988861084
2455026.08695652,-101.626739501953
2455686.95652174,-101.566741943359
2456347.82608696,-101.512283325195
2457008.69565217,-100.215667724609
2457669.56521739,-101.187705993652
2458330.43478261,-102.775466918945
2458991.30434783,-102.48168182373
2459652.17391304,-101.844200134277
2460313.04347826,-101.995109558105
2460973.91304348,-102.896965026855
2461634.7826087,-102.357620239258
2462295.65217391,-102.496589660645
2462956.52173913,-102.63697052002
2463617.39130435,-102.69115447998
2464278.26086957,-102.387336730957
2464939.13043478,-102.643325805664
2465600,-102.414047241211
2466260.86956522,-101.073829650879
2466921.73913043,-100.04615020752
2467582.60869565,-101.777503967285
2468243.47826087,-101.452095031738
2468904.34782609,-101.379898071289
2469565.2173913,-102.176803588867
2470226.08695652,-99.1369247436523
2470886.95652174,-101.131553649902
2471547.82608696,-100.776435852051
2472208.69565217,-100.82836151123
2472869.56521739,-101.105888366699
2473530.43478261,-99.5585327148438
2474191.30434783,-101.379554748535
2474852.17391304,-100.442657470703
2475513.04347826,-103.057235717773
2476173.91304348,-101.13550567627
2476834.7826087,-102.594497680664
2477495.65217391,-102.988021850586
2478156.52173913,-102.939994812012
2478817.39130435,-100.220260620117
2479478.26086957,-102.118522644043
2480139.13043478,-101.939109802246
2480800,-101.830772399902
2481460.86956522,-99.9913101196289
2482121.73913043,-99.8194198608398
2482782.60869565,-100.528533935547
2483443.47826087,-101.678153991699
2484104.34782609,-100.23991394043
2484765.2173913,-100.105194091797
2485426.08695652,-100.43571472168
2486086.95652174,-99.7273101806641
2486747.82608696,-98.8323822021484
2487408.69565217,-100.522682189941
2488069.56521739,-100.906585693359
2488730.43478261,-101.954330444336
2489391.30434783,-101.201499938965
2490052.17391304,-100.157981872559
2490713.04347826,-100.144714355469
2491373.91304348,-99.8749618530273
2492034.7826087,-98.2854232788086
2492695.65217391,-98.4875335693359
2493356.52173913,-100.204612731934
2494017.39130435,-99.5386047363281
2494678.26086957,-99.571907043457
2495339.13043478,-98.7308731079102
2496000,-100.139228820801
2496660.86956522,-99.3666305541992
2497321.73913043,-98.4876937866211
2497982.60869565,-98.6017761230469
2498643.47826087,-97.8937606811523
2499304.34782609,-99.3244857788086
2499965.2173913,-96.8332138061523
2500626.08695652,-96.5423736572266
2501286.95652174,-95.7702178955078
2501947.82608696,-95.9889755249023
2502608.69565217,-93.1628646850586
2503269.56521739,-91.5136566162109
2503930.43478261,-93.6026611328125
2504591.30434783,-95.5193099975586
2505252.17391304,-97.5501708984375
2505913.04347826,-94.64404296875
2506573.91304348,-94.2520294189453
2507234.7826087,-97.1683197021484
2507895.65217391,-95.1746520996094
2508556.52173913,-97.1348419189453
2509217.39130435,-98.3306579589844
2509878.26086957,-98.9831619262695
2510539.13043478,-98.5979537963867
2511200,-98.1260147094727
2511860.86956522,-98.5212631225586
2512521.73913043,-98.8683624267578
2513182.60869565,-98.9071350097656
2513843.47826087,-98.2291641235352
2514504.34782609,-98.8443450927734
2515165.2173913,-99.0337066650391
2515826.08695652,-96.8514556884766
2516486.95652174,-98.3072891235352
2517147.82608696,-98.0394821166992
2517808.69565217,-98.2101364135742
2518469.56521739,-98.47314453125
2519130.43478261,-99.4725875854492
2519791.30434783,-99.1050567626953
2520452.17391304,-97.214111328125
2521113.04347826,-96.8310394287109
2521773.91304348,-99.6328964233398
2522434.7826087,-97.9476776123047
2523095.65217391,-98.153923034668
2523756.52173913,-98.0512313842773
2524417.39130435,-96.1178359985352
2525078.26086957,-95.4571762084961
2525739.13043478,-95.5851898193359
2526400,-94.5395889282227
2527060.86956522,-92.4966583251953
2527721.73913043,-92.8501052856445
2528382.60869565,-93.8099517822266
2529043.47826087,-93.0827789306641
2529704.34782609,-93.5273208618164
2530365.2173913,-96.0024719238281
2531026.08695652,-95.9370880126953
2531686.95652174,-93.248664855957
2532347.82608696,-93.2529525756836
2533008.69565217,-93.8543167114258
2533669.56521739,-94.5124130249023
2534330.43478261,-93.8925247192383
2534991.30434783,-94.1093368530273
2535652.17391304,-93.2431640625
2536313.04347826,-93.7181549072266
2536973.91304348,-95.3618087768555
2537634.7826087,-95.4272537231445
2538295.65217391,-94.9147338867188
2538956.52173913,-95.2242889404297
2539617.39130435,-94.9237213134766
2540278.26086957,-93.6766128540039
2540939.13043478,-93.6258926391602
2541600,-93.3790512084961
