GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.613665,AUTO
Start Frequency,2300000
Stop Frequency,2850000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
2300000,-100.77197265625
2301195.65217391,-97.91162109375
2302391.30434783,-98.9403076171875
2303586.95652174,-99.7920608520508
2304782.60869565,-98.4242630004883
2305978.26086957,-99.2639389038086
2307173.91304348,-99.6198959350586
2308369.56521739,-99.5260391235352
2309565.2173913,-98.786979675293
2310760.86956522,-98.7618942260742
2311956.52173913,-100.198425292969
2313152.17391304,-99.2035217285156
2314347.82608696,-100.166809082031
2315543.47826087,-99.6379623413086
2316739.13043478,-99.2309112548828
2317934.7826087,-96.7051239013672
2319130.43478261,-97.7462158203125
2320326.08695652,-98.4906768798828
2321521.73913043,-98.500358581543
2322717.39130435,-98.8206787109375
2323913.04347826,-97.8744506835938
2325108.69565217,-98.4487457275391
2326304.34782609,-96.9017333984375
2327500,-99.1779327392578
2328695.65217391,-98.9952697753906
2329891.30434783,-99.157356262207
2331086.95652174,-98.6955032348633
2332282.60869565,-99.0308380126953
2333478.26086957,-98.7431335449219
2334673.91304348,-99.9551162719727
2335869.56521739,-93.9585113525391
2337065.2173913,-95.802131652832
2338260.86956522,-96.9220199584961
2339456.52173913,-97.4981536865234
2340652.17391304,-97.2686767578125
2341847.82608696,-97.517333984375
2343043.47826087,-96.8036270141602
2344239.13043478,-96.4044494628906
2345434.7826087,-96.8770523071289
2346630.43478261,-95.8748245239258
2347826.08695652,-95.9881820678711
2349021.73913043,-98.1118545532227
2350217.39130435,-97.8671417236328
2351413.04347826,-94.7426605224609
2352608.69565217,-96.0865173339844
2353804.34782609,-95.8223342895508
2355000,-96.8189239501953
2356195.65217391,-93.1809997558594
2357391.30434783,-93.6704025268555
2358586.95652174,-93.5018310546875
2359782.60869565,-96.570426940918
2360978.26086957,-98.4496459960938
2362173.91304348,-95.66455078125
2363369.56521739,-96.295654296875
2364565.2173913,-95.1856842041016
2365760.86956522,-96.0147171020508
2366956.52173913,-97.6127471923828
2368152.17391304,-95.553825378418
2369347.82608696,-95.9120483398438
2370543.47826087,-95.7882614135742
2371739.13043478,-96.1088256835938
2372934.7826087,-96.0892944335938
2374130.43478261,-96.291145324707
2375326.08695652,-92.9965972900391
2376521.73913043,-94.243537902832
2377717.39130435,-92.3812866210938
2378913.04347826,-90.4856567382813
2380108.69565217,-90.5178527832031
2381304.34782609,-97.0746536254883
2382500,-96.2662048339844
2383695.65217391,-95.8289184570313
2384891.30434783,-95.3919677734375
2386086.95652174,-94.7302703857422
2387282.60869565,-94.4207763671875
2388478.26086957,-94.6902770996094
2389673.91304348,-93.5914688110352
2390869.56521739,-88.4573364257813
2392065.2173913,-87.7968139648438
2393260.86956522,-88.7633819580078
2394456.52173913,-82.7772369384766
2395652.17391304,-77.4610748291016
2396847.82608696,-74.1978378295898
2398043.47826087,-71.9764022827148
2399239.13043478,-82.697151184082
2400434.7826087,-85.2269439697266
2401630.43478261,-90.3657760620117
2402826.08695652,-90.9245300292969
2404021.73913043,-92.6870651245117
2405217.39130435,-92.228157043457
2406413.04347826,-92.254264831543
2407608.69565217,-92.2779541015625
2408804.34782609,-94.113395690918
2410000,-93.2244033813477
2411195.65217391,-91.3176651000977
2412391.30434783,-92.3835296630859
2413586.95652174,-93.1243515014648
2414782.60869565,-92.8565979003906
2415978.26086957,-93.4641952514648
2417173.91304348,-92.6395721435547
2418369.56521739,-92.642219543457
2419565.2173913,-93.8596343994141
2420760.86956522,-91.1184921264648
2421956.52173913,-90.8754043579102
2423152.17391304,-92.1459655761719
2424347.82608696,-92.1686782836914
2425543.47826087,-90.1684875488281
2426739.13043478,-90.8289184570313
2427934.7826087,-94.2542572021484
2429130.43478261,-92.5806884765625
2430326.08695652,-91.3198394775391
2431521.73913043,-91.0738525390625
2432717.39130435,-92.2949676513672
2433913.04347826,-94.1869659423828
2435108.69565217,-92.2404251098633
2436304.34782609,-92.2174987792969
2437500,-91.9768676757813
2438695.65217391,-92.5617370605469
2439891.30434783,-92.1208953857422
2441086.95652174,-92.3056030273438
2442282.60869565,-90.7184982299805
2443478.26086957,-90.6770706176758
2444673.91304348,-90.0285797119141
2445869.56521739,-92.7746200561523
2447065.2173913,-90.3311309814453
2448260.86956522,-90.3647613525391
2449456.52173913,-91.247932434082
2450652.17391304,-91.3910064697266
2451847.82608696,-90.7981414794922
2453043.47826087,-90.2633819580078
2454239.13043478,-90.4973907470703
2455434.7826087,-90.5409927368164
2456630.43478261,-87.0232543945313
2457826.08695652,-88.9291763305664
2459021.73913043,-89.9935989379883
2460217.39130435,-87.1311264038086
2461413.04347826,-87.5498199462891
2462608.69565217,-88.1258087158203
2463804.34782609,-89.1764068603516
2465000,-87.9691619873047
2466195.65217391,-89.5450744628906
2467391.30434783,-87.3196716308594
2468586.95652174,-86.4243850708008
2469782.60869565,-86.9814834594727
2470978.26086957,-85.8954620361328
2472173.91304348,-84.5399017333984
2473369.56521739,-83.4850997924805
2474565.2173913,-85.9876022338867
2475760.86956522,-86.5734252929688
2476956.52173913,-85.1360168457031
2478152.17391304,-85.4010925292969
2479347.82608696,-83.6213607788086
2480543.47826087,-83.5215301513672
2481739.13043478,-86.2680053710938
2482934.7826087,-86.3626403808594
2484130.43478261,-84.5847473144531
2485326.08695652,-82.9325485229492
2486521.73913043,-81.2160873413086
2487717.39130435,-83.1553802490234
2488913.04347826,-83.2358932495117
2490108.69565217,-82.6661987304688
2491304.34782609,-82.8232955932617
2492500,-82.3505172729492
2493695.65217391,-81.4635391235352
2494891.30434783,-78.6903991699219
2496086.95652174,-81.4793319702148
2497282.60869565,-77.2301177978516
2498478.26086957,-76.3776016235352
2499673.91304348,-76.3896636962891
2500869.56521739,-76.8711547851563
2502065.2173913,-75.1635971069336
2503260.86956522,-69.8510360717773
2504456.52173913,-70.15966796875
2505652.17391304,-72.823356628418
2506847.82608696,-72.1800155639648
2508043.47826087,-73.7273330688477
2509239.13043478,-73.3599166870117
2510434.7826087,-74.2802963256836
2511630.43478261,-76.1395111083984
2512826.08695652,-78.781982421875
2514021.73913043,-86.2038650512695
