GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.613665,AUTO
Start Frequency,2300000
Stop Frequency,2850000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
2300000,-105.261161804199
2301195.65217391,-104.006088256836
2302391.30434783,-105.387405395508
2303586.95652174,-106.091239929199
2304782.60869565,-105.948020935059
2305978.26086957,-105.589012145996
2307173.91304348,-104.384902954102
2308369.56521739,-104.070724487305
2309565.2173913,-105.002334594727
2310760.86956522,-105.879943847656
2311956.52173913,-106.79621887207
2313152.17391304,-104.807426452637
2314347.82608696,-106.589797973633
2315543.47826087,-104.66365814209
2316739.13043478,-103.816139221191
2317934.7826087,-105.749504089355
2319130.43478261,-104.351493835449
2320326.08695652,-104.891021728516
2321521.73913043,-105.414047241211
2322717.39130435,-105.410064697266
2323913.04347826,-104.810905456543
2325108.69565217,-104.820930480957
2326304.34782609,-104.590187072754
2327500,-104.921730041504
2328695.65217391,-105.668563842773
2329891.30434783,-104.563980102539
2331086.95652174,-105.803092956543
2332282.60869565,-106.085693359375
2333478.26086957,-105.767066955566
2334673.91304348,-104.94034576416
2335869.56521739,-104.994071960449
2337065.2173913,-105.779373168945
2338260.86956522,-106.001197814941
2339456.52173913,-106.986930847168
2340652.17391304,-105.920356750488
2341847.82608696,-105.277793884277
2343043.47826087,-105.294570922852
2344239.13043478,-105.563232421875
2345434.7826087,-104.10913848877
2346630.43478261,-104.922584533691
2347826.08695652,-105.288719177246
2349021.73913043,-104.310195922852
2350217.39130435,-105.738189697266
2351413.04347826,-104.786323547363
2352608.69565217,-106.745834350586
2353804.34782609,-105.873893737793
2355000,-104.776412963867
2356195.65217391,-105.77978515625
2357391.30434783,-104.227600097656
2358586.95652174,-105.41194152832
2359782.60869565,-104.820617675781
2360978.26086957,-104.235877990723
2362173.91304348,-106.351760864258
2363369.56521739,-105.522644042969
2364565.2173913,-103.751686096191
2365760.86956522,-105.074111938477
2366956.52173913,-105.564041137695
2368152.17391304,-105.927864074707
2369347.82608696,-104.900909423828
2370543.47826087,-104.648513793945
2371739.13043478,-105.86840057373
2372934.7826087,-105.154258728027
2374130.43478261,-105.908271789551
2375326.08695652,-104.871780395508
2376521.73913043,-104.774131774902
2377717.39130435,-103.663764953613
2378913.04347826,-105.202781677246
2380108.69565217,-105.021354675293
2381304.34782609,-105.661125183105
2382500,-104.93342590332
2383695.65217391,-105.457939147949
2384891.30434783,-105.367370605469
2386086.95652174,-106.363540649414
2387282.60869565,-106.170227050781
2388478.26086957,-103.489166259766
2389673.91304348,-103.741706848145
2390869.56521739,-104.906158447266
2392065.2173913,-105.913116455078
2393260.86956522,-105.366172790527
2394456.52173913,-104.750305175781
2395652.17391304,-104.688865661621
2396847.82608696,-105.717910766602
2398043.47826087,-104.277069091797
2399239.13043478,-104.444381713867
2400434.7826087,-102.545616149902
2401630.43478261,-102.718872070313
2402826.08695652,-103.98706817627
2404021.73913043,-106.498474121094
2405217.39130435,-106.151634216309
2406413.04347826,-105.201332092285
2407608.69565217,-104.193626403809
2408804.34782609,-104.240440368652
2410000,-104.98511505127
2411195.65217391,-104.899284362793
2412391.30434783,-104.161682128906
2413586.95652174,-105.164367675781
2414782.60869565,-104.630966186523
2415978.26086957,-105.50318145752
2417173.91304348,-105.672050476074
2418369.56521739,-103.651214599609
2419565.2173913,-105.091514587402
2420760.86956522,-105.391250610352
2421956.52173913,-104.685897827148
2423152.17391304,-104.115180969238
2424347.82608696,-103.907737731934
2425543.47826087,-105.820106506348
2426739.13043478,-104.918197631836
2427934.7826087,-106.143829345703
2429130.43478261,-105.750137329102
2430326.08695652,-105.100402832031
2431521.73913043,-104.446357727051
2432717.39130435,-104.301696777344
2433913.04347826,-104.753936767578
2435108.69565217,-105.885986328125
2436304.34782609,-105.973541259766
2437500,-105.409439086914
2438695.65217391,-105.287101745605
2439891.30434783,-104.19359588623
2441086.95652174,-104.862075805664
2442282.60869565,-104.333183288574
2443478.26086957,-105.537460327148
2444673.91304348,-103.570388793945
2445869.56521739,-104.992683410645
2447065.2173913,-104.169326782227
2448260.86956522,-105.551918029785
2449456.52173913,-103.872100830078
2450652.17391304,-104.514266967773
2451847.82608696,-104.519203186035
2453043.47826087,-104.237396240234
2454239.13043478,-105.325340270996
2455434.7826087,-104.344039916992
2456630.43478261,-101.811431884766
2457826.08695652,-103.827995300293
2459021.73913043,-104.356834411621
2460217.39130435,-103.931938171387
2461413.04347826,-104.808097839355
2462608.69565217,-104.573387145996
2463804.34782609,-105.465644836426
2465000,-104.716552734375
2466195.65217391,-105.401184082031
2467391.30434783,-106.723533630371
2468586.95652174,-105.973495483398
2469782.60869565,-105.48388671875
2470978.26086957,-106.555015563965
2472173.91304348,-105.717498779297
2473369.56521739,-105.505241394043
2474565.2173913,-103.072311401367
2475760.86956522,-104.353614807129
2476956.52173913,-104.144050598145
2478152.17391304,-105.185752868652
2479347.82608696,-105.004943847656
2480543.47826087,-102.820648193359
2481739.13043478,-105.220230102539
2482934.7826087,-104.992454528809
2484130.43478261,-105.026557922363
2485326.08695652,-104.16414642334
2486521.73913043,-105.385612487793
2487717.39130435,-104.151145935059
2488913.04347826,-105.209854125977
2490108.69565217,-104.319198608398
2491304.34782609,-104.682220458984
2492500,-105.580810546875
2493695.65217391,-104.106048583984
2494891.30434783,-104.528602600098
2496086.95652174,-104.745918273926
2497282.60869565,-104.918067932129
2498478.26086957,-103.362503051758
2499673.91304348,-104.936851501465
2500869.56521739,-105.067268371582
2502065.2173913,-105.602851867676
2503260.86956522,-103.628105163574
2504456.52173913,-103.342704772949
2505652.17391304,-102.93904876709
2506847.82608696,-103.369575500488
2508043.47826087,-104.024360656738
2509239.13043478,-102.847915649414
2510434.7826087,-106.229972839355
2511630.43478261,-104.585655212402
2512826.08695652,-104.853820800781
2514021.73913043,-104.779335021973
2515217.39130435,-105.495468139648
2516413.04347826,-104.816818237305
2517608.69565217,-105.192802429199
2518804.34782609,-103.921180725098
2520000,-104.372459411621
2521195.65217391,-103.87134552002
2522391.30434783,-104.452705383301
2523586.95652174,-104.290626525879
2524782.60869565,-105.721038818359
2525978.26086957,-104.943908691406
