GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),3.76426,AUTO
Start Frequency,1800000
Stop Frequency,3100000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
1800000,-104.282928466797
1802826.08695652,-105.222602844238
1805652.17391304,-105.065116882324
1808478.26086957,-105.474617004395
1811304.34782609,-104.88826751709
1814130.43478261,-105.527847290039
1816956.52173913,-105.265151977539
1819782.60869565,-105.176971435547
1822608.69565217,-105.717468261719
1825434.7826087,-105.567443847656
1828260.86956522,-106.076614379883
1831086.95652174,-104.688041687012
1833913.04347826,-106.284675598145
1836739.13043478,-105.342651367188
1839565.2173913,-104.759765625
1842391.30434783,-105.530158996582
1845217.39130435,-106.073356628418
1848043.47826087,-106.309715270996
1850869.56521739,-105.637161254883
1853695.65217391,-104.189071655273
1856521.73913043,-106.402862548828
1859347.82608696,-106.435981750488
1862173.91304348,-105.898017883301
1865000,-105.835250854492
1867826.08695652,-105.842163085938
1870652.17391304,-105.600524902344
1873478.26086957,-105.524574279785
1876304.34782609,-106.150268554688
1879130.43478261,-105.681930541992
1881956.52173913,-106.254745483398
1884782.60869565,-105.235260009766
1887608.69565217,-105.136016845703
1890434.7826087,-106.465003967285
1893260.86956522,-105.604637145996
1896086.95652174,-105.871688842773
1898913.04347826,-105.475151062012
1901739.13043478,-103.680206298828
1904565.2173913,-104.118278503418
1907391.30434783,-105.741340637207
1910217.39130435,-106.391578674316
1913043.47826087,-105.562683105469
1915869.56521739,-105.116714477539
1918695.65217391,-104.571746826172
1921521.73913043,-104.575950622559
1924347.82608696,-104.105178833008
1927173.91304348,-104.434104919434
1930000,-105.255546569824
1932826.08695652,-105.016311645508
1935652.17391304,-105.04679107666
1938478.26086957,-105.79216003418
1941304.34782609,-105.445816040039
1944130.43478261,-104.536193847656
1946956.52173913,-105.227043151855
1949782.60869565,-105.296760559082
1952608.69565217,-105.538192749023
1955434.7826087,-104.446411132813
1958260.86956522,-105.385818481445
1961086.95652174,-104.532989501953
1963913.04347826,-104.805335998535
1966739.13043478,-104.95076751709
1969565.2173913,-104.846374511719
1972391.30434783,-106.276435852051
1975217.39130435,-106.608375549316
1978043.47826087,-104.238006591797
1980869.56521739,-105.453010559082
1983695.65217391,-105.640518188477
1986521.73913043,-106.015510559082
1989347.82608696,-104.664649963379
1992173.91304348,-104.690696716309
1995000,-104.958511352539
1997826.08695652,-103.823440551758
2000652.17391304,-105.45036315918
2003478.26086957,-105.500038146973
2006304.34782609,-105.410552978516
2009130.43478261,-106.341850280762
2011956.52173913,-105.478736877441
2014782.60869565,-105.497375488281
2017608.69565217,-104.907653808594
2020434.7826087,-105.860298156738
2023260.86956522,-104.582786560059
2026086.95652174,-104.327980041504
2028913.04347826,-105.511283874512
2031739.13043478,-106.07984161377
2034565.2173913,-106.240646362305
2037391.30434783,-104.413230895996
2040217.39130435,-105.653923034668
2043043.47826087,-105.304542541504
2045869.56521739,-104.433494567871
2048695.65217391,-104.888984680176
2051521.73913043,-104.40941619873
2054347.82608696,-105.2529296875
2057173.91304348,-105.109176635742
2060000,-105.535339355469
2062826.08695652,-105.584205627441
2065652.17391304,-105.911582946777
2068478.26086957,-105.489585876465
2071304.34782609,-104.573425292969
2074130.43478261,-104.554183959961
2076956.52173913,-104.640991210938
2079782.60869565,-104.507270812988
2082608.69565217,-104.593643188477
2085434.7826087,-104.96418762207
2088260.86956522,-105.995590209961
2091086.95652174,-105.323501586914
2093913.04347826,-104.805519104004
2096739.13043478,-104.21728515625
2099565.2173913,-103.847206115723
2102391.30434783,-106.140647888184
2105217.39130435,-104.445358276367
2108043.47826087,-104.931289672852
2110869.56521739,-105.419700622559
2113695.65217391,-104.810340881348
2116521.73913043,-105.783798217773
2119347.82608696,-105.197860717773
2122173.91304348,-104.915901184082
2125000,-104.942245483398
2127826.08695652,-105.520202636719
2130652.17391304,-103.184074401855
2133478.26086957,-104.389137268066
2136304.34782609,-105.495567321777
2139130.43478261,-103.393051147461
2141956.52173913,-104.279541015625
2144782.60869565,-104.255065917969
2147608.69565217,-103.945457458496
2150434.7826087,-105.464424133301
2153260.86956522,-104.534049987793
2156086.95652174,-105.693229675293
2158913.04347826,-104.185478210449
2161739.13043478,-105.310623168945
2164565.2173913,-105.265983581543
2167391.30434783,-104.407653808594
2170217.39130435,-103.66268157959
2173043.47826087,-103.63875579834
2175869.56521739,-104.002990722656
2178695.65217391,-105.225631713867
2181521.73913043,-103.619194030762
2184347.82608696,-104.717132568359
2187173.91304348,-103.819267272949
2190000,-104.037109375
2192826.08695652,-103.528099060059
2195652.17391304,-105.281761169434
2198478.26086957,-103.825698852539
2201304.34782609,-103.669311523438
2204130.43478261,-105.183135986328
2206956.52173913,-105.317001342773
2209782.60869565,-104.202796936035
2212608.69565217,-103.064743041992
2215434.7826087,-104.561393737793
2218260.86956522,-104.527030944824
2221086.95652174,-105.240173339844
2223913.04347826,-104.572761535645
2226739.13043478,-103.523979187012
2229565.2173913,-103.919998168945
2232391.30434783,-103.938018798828
2235217.39130435,-105.588851928711
2238043.47826087,-102.739379882813
2240869.56521739,-104.247444152832
2243695.65217391,-105.1279296875
2246521.73913043,-104.31372833252
2249347.82608696,-104.843086242676
2252173.91304348,-103.705947875977
2255000,-102.419715881348
2257826.08695652,-104.210693359375
2260652.17391304,-103.972297668457
2263478.26086957,-101.878852844238
2266304.34782609,-102.443786621094
2269130.43478261,-104.538841247559
2271956.52173913,-103.92407989502
2274782.60869565,-104.642372131348
2277608.69565217,-104.195030212402
2280434.7826087,-104.322738647461
2283260.86956522,-104.123680114746
2286086.95652174,-104.547096252441
2288913.04347826,-102.845436096191
2291739.13043478,-102.444145202637
2294565.2173913,-101.15567779541
2297391.30434783,-102.57642364502
2300217.39130435,-102.255645751953
2303043.47826087,-103.186882019043
2305869.56521739,-102.769058227539
2308695.65217391,-102.632972717285
2311521.73913043,-101.194152832031
2314347.82608696,-102.343879699707
2317173.91304348,-102.493049621582
2320000,-101.677833557129
2322826.08695652,-102.131103515625
2325652.17391304,-100.867340087891
2328478.26086957,-98.4866485595703
2331304.34782609,-101.111923217773
2334130.43478261,-98.7254028320313
