GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),3.76426,AUTO
Start Frequency,1800000
Stop Frequency,3100000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
1800000,-106.27458190918
1802826.08695652,-105.229751586914
1805652.17391304,-105.342491149902
1808478.26086957,-106.091606140137
1811304.34782609,-105.246879577637
1814130.43478261,-104.460227966309
1816956.52173913,-106.133605957031
1819782.60869565,-105.257202148438
1822608.69565217,-104.479377746582
1825434.7826087,-105.071640014648
1828260.86956522,-105.662544250488
1831086.95652174,-106.285934448242
1833913.04347826,-104.80591583252
1836739.13043478,-105.820198059082
1839565.2173913,-104.487739562988
1842391.30434783,-106.709487915039
1845217.39130435,-105.243644714355
1848043.47826087,-105.546180725098
1850869.56521739,-105.308433532715
1853695.65217391,-104.17244720459
1856521.73913043,-105.783683776855
1859347.82608696,-104.897727966309
1862173.91304348,-104.96524810791
1865000,-105.846580505371
1867826.08695652,-105.507080078125
1870652.17391304,-104.409912109375
1873478.26086957,-105.474174499512
1876304.34782609,-105.143333435059
1879130.43478261,-105.57421875
1881956.52173913,-105.11986541748
1884782.60869565,-104.536560058594
1887608.69565217,-104.326042175293
1890434.7826087,-105.680633544922
1893260.86956522,-106.418754577637
1896086.95652174,-106.683860778809
1898913.04347826,-105.029136657715
1901739.13043478,-105.159324645996
1904565.2173913,-105.719291687012
1907391.30434783,-105.669227600098
1910217.39130435,-105.024131774902
1913043.47826087,-105.814735412598
1915869.56521739,-104.627899169922
1918695.65217391,-104.289161682129
1921521.73913043,-104.81534576416
1924347.82608696,-105.954643249512
1927173.91304348,-104.625762939453
1930000,-105.263359069824
1932826.08695652,-105.902862548828
1935652.17391304,-104.728004455566
1938478.26086957,-105.947357177734
1941304.34782609,-106.388648986816
1944130.43478261,-105.267669677734
1946956.52173913,-105.860496520996
1949782.60869565,-104.553527832031
1952608.69565217,-103.672889709473
1955434.7826087,-104.679664611816
1958260.86956522,-105.389350891113
1961086.95652174,-106.570495605469
1963913.04347826,-104.555610656738
1966739.13043478,-104.708290100098
1969565.2173913,-105.433181762695
1972391.30434783,-104.572471618652
1975217.39130435,-103.843795776367
1978043.47826087,-105.272850036621
1980869.56521739,-105.348930358887
1983695.65217391,-105.82421875
1986521.73913043,-105.480758666992
1989347.82608696,-105.867286682129
1992173.91304348,-104.429473876953
1995000,-105.146133422852
1997826.08695652,-105.33097076416
2000652.17391304,-104.538726806641
2003478.26086957,-104.540367126465
2006304.34782609,-106.848457336426
2009130.43478261,-106.282089233398
2011956.52173913,-105.911483764648
2014782.60869565,-104.124732971191
2017608.69565217,-105.608375549316
2020434.7826087,-104.744071960449
2023260.86956522,-105.073013305664
2026086.95652174,-105.917449951172
2028913.04347826,-104.94344329834
2031739.13043478,-105.487022399902
2034565.2173913,-104.814735412598
2037391.30434783,-105.450393676758
2040217.39130435,-106.083183288574
2043043.47826087,-105.122543334961
2045869.56521739,-105.547798156738
2048695.65217391,-103.697395324707
2051521.73913043,-104.934432983398
2054347.82608696,-104.106872558594
2057173.91304348,-104.668045043945
2060000,-104.453140258789
2062826.08695652,-104.866081237793
2065652.17391304,-106.209365844727
2068478.26086957,-105.88419342041
2071304.34782609,-105.905296325684
2074130.43478261,-105.074378967285
2076956.52173913,-104.897247314453
2079782.60869565,-105.196601867676
2082608.69565217,-105.229713439941
2085434.7826087,-104.912734985352
2088260.86956522,-105.232757568359
2091086.95652174,-105.374809265137
2093913.04347826,-104.593856811523
2096739.13043478,-104.29035949707
2099565.2173913,-105.034652709961
2102391.30434783,-106.143157958984
2105217.39130435,-104.555046081543
2108043.47826087,-104.710716247559
2110869.56521739,-105.993095397949
2113695.65217391,-106.086036682129
2116521.73913043,-105.246536254883
2119347.82608696,-105.538009643555
2122173.91304348,-104.903839111328
2125000,-105.01978302002
2127826.08695652,-105.255310058594
2130652.17391304,-104.772239685059
2133478.26086957,-104.682861328125
2136304.34782609,-105.096229553223
2139130.43478261,-105.636054992676
2141956.52173913,-104.849967956543
2144782.60869565,-105.448699951172
2147608.69565217,-104.193367004395
2150434.7826087,-104.100494384766
2153260.86956522,-105.702545166016
2156086.95652174,-105.141654968262
2158913.04347826,-105.251174926758
2161739.13043478,-105.095161437988
2164565.2173913,-103.552513122559
2167391.30434783,-104.758415222168
2170217.39130435,-103.366714477539
2173043.47826087,-104.542083740234
2175869.56521739,-104.94499206543
2178695.65217391,-104.883369445801
2181521.73913043,-104.502326965332
2184347.82608696,-104.203819274902
2187173.91304348,-104.265922546387
2190000,-103.873039245605
2192826.08695652,-104.759208679199
2195652.17391304,-105.433441162109
2198478.26086957,-104.936874389648
2201304.34782609,-104.328155517578
2204130.43478261,-103.996765136719
2206956.52173913,-104.971519470215
2209782.60869565,-105.014572143555
2212608.69565217,-103.763854980469
2215434.7826087,-105.33699798584
2218260.86956522,-104.272552490234
2221086.95652174,-104.324752807617
2223913.04347826,-105.317260742188
2226739.13043478,-104.787490844727
2229565.2173913,-105.531440734863
2232391.30434783,-105.332412719727
2235217.39130435,-103.83748626709
2238043.47826087,-105.277320861816
2240869.56521739,-105.072036743164
2243695.65217391,-104.529754638672
2246521.73913043,-104.637825012207
2249347.82608696,-105.280418395996
2252173.91304348,-105.657836914063
2255000,-105.309585571289
2257826.08695652,-104.790512084961
2260652.17391304,-104.614303588867
2263478.26086957,-105.008865356445
2266304.34782609,-106.172828674316
2269130.43478261,-105.527702331543
2271956.52173913,-105.121475219727
2274782.60869565,-103.466835021973
2277608.69565217,-105.843566894531
2280434.7826087,-105.725410461426
2283260.86956522,-103.844436645508
2286086.95652174,-105.093963623047
2288913.04347826,-104.71467590332
2291739.13043478,-104.102897644043
2294565.2173913,-104.424331665039
2297391.30434783,-103.440017700195
2300217.39130435,-104.803932189941
2303043.47826087,-104.825996398926
2305869.56521739,-104.748252868652
2308695.65217391,-105.266166687012
2311521.73913043,-104.236038208008
2314347.82608696,-104.847053527832
2317173.91304348,-104.336059570313
2320000,-104.28702545166
2322826.08695652,-105.176040649414
2325652.17391304,-104.539093017578
2328478.26086957,-103.983871459961
2331304.34782609,-103.388366699219
2334130.43478261,-104.656555175781
