GPS Location:,Unlocked
Y Axis Scale,LIN
Y Axis Unit,dBmV
Impedance,50
Number of Points,461
Sweep Time(s),5.017803,AUTO
Start Frequency,1800000
Stop Frequency,3500000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-80
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
1800000,-106.226539611816
1803695.65217391,-106.098472595215
1807391.30434783,-105.623649597168
1811086.95652174,-105.636817932129
1814782.60869565,-106.140480041504
1818478.26086957,-105.738502502441
1822173.91304348,-106.402366638184
1825869.56521739,-105.82787322998
1829565.2173913,-106.471488952637
1833260.86956522,-106.524971008301
1836956.52173913,-105.16771697998
1840652.17391304,-105.914924621582
1844347.82608696,-107.221717834473
1848043.47826087,-107.477684020996
1851739.13043478,-106.781196594238
1855434.7826087,-107.04483795166
1859130.43478261,-106.555366516113
1862826.08695652,-106.241546630859
1866521.73913043,-106.90251159668
1870217.39130435,-106.20775604248
1873913.04347826,-107.377784729004
1877608.69565217,-106.488563537598
1881304.34782609,-106.527618408203
1885000,-106.795593261719
1888695.65217391,-106.339942932129
1892391.30434783,-106.603729248047
1896086.95652174,-104.985244750977
1899782.60869565,-105.645462036133
1903478.26086957,-105.572189331055
1907173.91304348,-106.42325592041
1910869.56521739,-105.035377502441
1914565.2173913,-106.42253112793
1918260.86956522,-106.192985534668
1921956.52173913,-105.671127319336
1925652.17391304,-106.48405456543
1929347.82608696,-105.886352539063
1933043.47826087,-106.309265136719
1936739.13043478,-106.455825805664
1940434.7826087,-106.660797119141
1944130.43478261,-106.427673339844
1947826.08695652,-105.822212219238
1951521.73913043,-106.314346313477
1955217.39130435,-106.569282531738
1958913.04347826,-106.402618408203
1962608.69565217,-106.460807800293
1966304.34782609,-105.094741821289
1970000,-105.287994384766
1973695.65217391,-106.506576538086
1977391.30434783,-105.968658447266
1981086.95652174,-105.45792388916
1984782.60869565,-105.040893554688
1988478.26086957,-105.104911804199
1992173.91304348,-106.614540100098
1995869.56521739,-105.720252990723
1999565.2173913,-105.569465637207
2003260.86956522,-106.476249694824
2006956.52173913,-105.91397857666
2010652.17391304,-105.063949584961
2014347.82608696,-105.003479003906
2018043.47826087,-105.547950744629
2021739.13043478,-104.979110717773
2025434.7826087,-105.484970092773
2029130.43478261,-105.958389282227
2032826.08695652,-105.502067565918
2036521.73913043,-104.851928710938
2040217.39130435,-104.717140197754
2043913.04347826,-105.28108215332
2047608.69565217,-106.159606933594
2051304.34782609,-105.148918151855
2055000,-106.044975280762
2058695.65217391,-105.270751953125
2062391.30434783,-106.601066589355
2066086.95652174,-105.537818908691
2069782.60869565,-106.224975585938
2073478.26086957,-106.120414733887
2077173.91304348,-105.51587677002
2080869.56521739,-104.88924407959
2084565.2173913,-105.223793029785
2088260.86956522,-105.706619262695
2091956.52173913,-106.050247192383
2095652.17391304,-105.350036621094
2099347.82608696,-106.621887207031
2103043.47826087,-105.045539855957
2106739.13043478,-104.996719360352
2110434.7826087,-105.887046813965
2114130.43478261,-105.621315002441
2117826.08695652,-106.331321716309
2121521.73913043,-104.442306518555
2125217.39130435,-105.202445983887
2128913.04347826,-105.920372009277
2132608.69565217,-106.349746704102
2136304.34782609,-106.663703918457
2140000,-105.688095092773
2143695.65217391,-105.253784179688
2147391.30434783,-106.150047302246
2151086.95652174,-105.787170410156
2154782.60869565,-105.898086547852
2158478.26086957,-106.134658813477
2162173.91304348,-104.245338439941
2165869.56521739,-104.922882080078
2169565.2173913,-105.01496887207
2173260.86956522,-104.920135498047
2176956.52173913,-105.19815826416
2180652.17391304,-106.287818908691
2184347.82608696,-105.232948303223
2188043.47826087,-105.10440826416
2191739.13043478,-105.249534606934
2195434.7826087,-104.915596008301
2199130.43478261,-104.769432067871
2202826.08695652,-105.585792541504
2206521.73913043,-105.02108001709
2210217.39130435,-105.217262268066
2213913.04347826,-105.070289611816
2217608.69565217,-105.058952331543
2221304.34782609,-105.694175720215
2225000,-105.283561706543
2228695.65217391,-105.204307556152
2232391.30434783,-104.949699401855
2236086.95652174,-105.704490661621
2239782.60869565,-106.006439208984
2243478.26086957,-102.992828369141
2247173.91304348,-105.938751220703
2250869.56521739,-104.958847045898
2254565.2173913,-105.754295349121
2258260.86956522,-105.1259765625
2261956.52173913,-104.592208862305
2265652.17391304,-104.548072814941
2269347.82608696,-105.25350189209
2273043.47826087,-105.460090637207
2276739.13043478,-104.684989929199
2280434.7826087,-105.621658325195
2284130.43478261,-104.54638671875
2287826.08695652,-105.950592041016
2291521.73913043,-105.868461608887
2295217.39130435,-105.800094604492
2298913.04347826,-104.904251098633
2302608.69565217,-105.105995178223
2306304.34782609,-105.473045349121
2310000,-104.852416992188
2313695.65217391,-104.58561706543
2317391.30434783,-104.302810668945
2321086.95652174,-104.88752746582
2324782.60869565,-104.57568359375
2328478.26086957,-105.962272644043
2332173.91304348,-103.911766052246
2335869.56521739,-103.991439819336
2339565.2173913,-103.452171325684
2343260.86956522,-102.740982055664
2346956.52173913,-103.676193237305
2350652.17391304,-102.164680480957
2354347.82608696,-101.127418518066
2358043.47826087,-104.192565917969
2361739.13043478,-103.05101776123
2365434.7826087,-100.328163146973
2369130.43478261,-98.4894409179688
2372826.08695652,-103.950836181641
2376521.73913043,-102.172546386719
2380217.39130435,-100.83927154541
2383913.04347826,-100.873794555664
2387608.69565217,-97.3479080200195
2391304.34782609,-97.7926559448242
2395000,-98.7407531738281
2398695.65217391,-98.5651779174805
2402391.30434783,-99.9857406616211
2406086.95652174,-101.512100219727
2409782.60869565,-100.698356628418
2413478.26086957,-102.927391052246
2417173.91304348,-103.604049682617
2420869.56521739,-103.390144348145
2424565.2173913,-102.91431427002
2428260.86956522,-104.398582458496
2431956.52173913,-105.216644287109
2435652.17391304,-104.408187866211
2439347.82608696,-104.0341796875
2443043.47826087,-103.363098144531
2446739.13043478,-104.93147277832
2450434.7826087,-104.793029785156
2454130.43478261,-104.860977172852
2457826.08695652,-104.019561767578
2461521.73913043,-104.803100585938
2465217.39130435,-104.717147827148
2468913.04347826,-105.011108398438
2472608.69565217,-104.784484863281
2476304.34782609,-104.457443237305
2480000,-104.996032714844
2483695.65217391,-104.906936645508
2487391.30434783,-104.786987304688
2491086.95652174,-104.831153869629
2494782.60869565,-104.122940063477
2498478.26086957,-105.025268554688
2502173.91304348,-105.731948852539
2505869.56521739,-105.590042114258
2509565.2173913,-105.560333251953
2513260.86956522,-104.51016998291
2516956.52173913,-104.469215393066
2520652.17391304,-104.275833129883
2524347.82608696,-102.328674316406
2528043.47826087,-104.539276123047
2531739.13043478,-105.438766479492
2535434.7826087,-105.722480773926
2539130.43478261,-104.397651672363
2542826.08695652,-104.887619018555
2546521.73913043,-105.20858001709
2550217.39130435,-105.048164367676
2553913.04347826,-104.339729309082
2557608.69565217,-104.485191345215
2561304.34782609,-105.92537689209
2565000,-105.080955505371
2568695.65217391,-105.16805267334
2572391.30434783,-104.164817810059
2576086.95652174,-105.090538024902
2579782.60869565,-104.902549743652
2583478.26086957,-104.238136291504
2587173.91304348,-105.197685241699
2590869.56521739,-105.554695129395
2594565.2173913,-104.996162414551
2598260.86956522,-104.977699279785
2601956.52173913,-104.56420135498
2605652.17391304,-102.678657531738
2609347.82608696,-103.37621307373
2613043.47826087,-103.603141784668
2616739.13043478,-104.214698791504
2620434.7826087,-104.796852111816
2624130.43478261,-104.494514465332
2627826.08695652,-104.885162353516
2631521.73913043,-103.951713562012
2635217.39130435,-104.116119384766
2638913.04347826,-104.865913391113
2642608.69565217,-105.754539489746
2646304.34782609,-104.751457214355
2650000,-104.668197631836
2653695.65217391,-103.629554748535
2657391.30434783,-104.586822509766
2661086.95652174,-104.990478515625
2664782.60869565,-104.786743164063
2668478.26086957,-104.26676940918
2672173.91304348,-104.13402557373
2675869.56521739,-104.230972290039
2679565.2173913,-104.401847839355
2683260.86956522,-104.853225708008
2686956.52173913,-104.60466003418
2690652.17391304,-104.301750183105
2694347.82608696,-104.775588989258
2698043.47826087,-105.377098083496
2701739.13043478,-105.085121154785
2705434.7826087,-104.251029968262
2709130.43478261,-104.814231872559
2712826.08695652,-104.381385803223
2716521.73913043,-105.315605163574
2720217.39130435,-104.493751525879
2723913.04347826,-105.453643798828
2727608.69565217,-105.148475646973
2731304.34782609,-104.650199890137
2735000,-103.502906799316
2738695.65217391,-104.231758117676
2742391.30434783,-104.498207092285
2746086.95652174,-104.529403686523
2749782.60869565,-103.163581848145
2753478.26086957,-104.331245422363
2757173.91304348,-104.875274658203
2760869.56521739,-104.253875732422
2764565.2173913,-104.634590148926
2768260.86956522,-103.726570129395
2771956.52173913,-103.955345153809
2775652.17391304,-104.033760070801
2779347.82608696,-104.744590759277
2783043.47826087,-103.939094543457
2786739.13043478,-105.255310058594
2790434.7826087,-104.711303710938
2794130.43478261,-104.868980407715
2797826.08695652,-104.108657836914
2801521.73913043,-104.144035339355
2805217.39130435,-104.35294342041
2808913.04347826,-103.377395629883
2812608.69565217,-104.092323303223
2816304.34782609,-104.61988067627
2820000,-105.002853393555
2823695.65217391,-104.488632202148
2827391.30434783,-103.218597412109
2831086.95652174,-104.453422546387
2834782.60869565,-104.509071350098
2838478.26086957,-103.986946105957
2842173.91304348,-104.424461364746
2845869.56521739,-104.888214111328
2849565.2173913,-104.15259552002
2853260.86956522,-103.757133483887
2856956.52173913,-104.798690795898
2860652.17391304,-103.018264770508
2864347.82608696,-104.638626098633
2868043.47826087,-105.459747314453
2871739.13043478,-103.279876708984
2875434.7826087,-103.604782104492
