GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.896786,AUTO
Start Frequency,2420000
Stop Frequency,2724000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,3,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
2420000,-105.083213806152
2420660.86956522,-105.096221923828
2421321.73913043,-103.851898193359
2421982.60869565,-105.210929870605
2422643.47826087,-105.472770690918
2423304.34782609,-105.379486083984
2423965.2173913,-105.817169189453
2424626.08695652,-105.490921020508
2425286.95652174,-104.546287536621
2425947.82608696,-104.060752868652
2426608.69565217,-106.027809143066
2427269.56521739,-106.717308044434
2427930.43478261,-105.194862365723
2428591.30434783,-105.621742248535
2429252.17391304,-104.926307678223
2429913.04347826,-105.452285766602
2430573.91304348,-106.09024810791
2431234.7826087,-106.085510253906
2431895.65217391,-103.747947692871
2432556.52173913,-105.540237426758
2433217.39130435,-105.019653320313
2433878.26086957,-103.780982971191
2434539.13043478,-104.10432434082
2435200,-104.175956726074
2435860.86956522,-104.356155395508
2436521.73913043,-105.61319732666
2437182.60869565,-104.768692016602
2437843.47826087,-104.867607116699
2438504.34782609,-104.871299743652
2439165.2173913,-105.579536437988
2439826.08695652,-103.835586547852
2440486.95652174,-103.792823791504
2441147.82608696,-104.366226196289
2441808.69565217,-104.056167602539
2442469.56521739,-103.618301391602
2443130.43478261,-104.901138305664
2443791.30434783,-104.098373413086
2444452.17391304,-104.750839233398
2445113.04347826,-106.490951538086
2445773.91304348,-105.040420532227
2446434.7826087,-106.516967773438
2447095.65217391,-105.259414672852
2447756.52173913,-104.266632080078
2448417.39130435,-103.283576965332
2449078.26086957,-104.70246887207
2449739.13043478,-106.414039611816
2450400,-105.321594238281
2451060.86956522,-104.814170837402
2451721.73913043,-104.31844329834
2452382.60869565,-105.880706787109
2453043.47826087,-104.06477355957
2453704.34782609,-104.461875915527
2454365.2173913,-103.073104858398
2455026.08695652,-103.613510131836
2455686.95652174,-103.586128234863
2456347.82608696,-103.702713012695
2457008.69565217,-102.731483459473
2457669.56521739,-103.821357727051
2458330.43478261,-104.393028259277
2458991.30434783,-104.702514648438
2459652.17391304,-103.953948974609
2460313.04347826,-104.455093383789
2460973.91304348,-106.172950744629
2461634.7826087,-104.981704711914
2462295.65217391,-104.9208984375
2462956.52173913,-103.60555267334
2463617.39130435,-103.368423461914
2464278.26086957,-103.217681884766
2464939.13043478,-102.710311889648
2465600,-105.130500793457
2466260.86956522,-105.923622131348
2466921.73913043,-105.149742126465
2467582.60869565,-106.254356384277
2468243.47826087,-103.881591796875
2468904.34782609,-104.717079162598
2469565.2173913,-105.557487487793
2470226.08695652,-104.504333496094
2470886.95652174,-104.240272521973
2471547.82608696,-104.48551940918
2472208.69565217,-103.349494934082
2472869.56521739,-104.291358947754
2473530.43478261,-102.662391662598
2474191.30434783,-102.562118530273
2474852.17391304,-103.16682434082
2475513.04347826,-103.734436035156
2476173.91304348,-104.340286254883
2476834.7826087,-104.287879943848
2477495.65217391,-104.265594482422
2478156.52173913,-104.044921875
2478817.39130435,-103.085845947266
2479478.26086957,-103.022979736328
2480139.13043478,-103.782669067383
2480800,-103.776489257813
2481460.86956522,-102.089660644531
2482121.73913043,-103.954025268555
2482782.60869565,-104.77318572998
2483443.47826087,-105.247016906738
2484104.34782609,-103.691886901855
2484765.2173913,-105.141792297363
2485426.08695652,-101.751541137695
2486086.95652174,-101.655197143555
2486747.82608696,-101.661651611328
2487408.69565217,-101.65047454834
2488069.56521739,-102.775672912598
2488730.43478261,-103.395355224609
2489391.30434783,-102.875129699707
2490052.17391304,-104.718505859375
2490713.04347826,-102.668060302734
2491373.91304348,-102.482666015625
2492034.7826087,-104.077270507813
2492695.65217391,-103.474502563477
2493356.52173913,-101.427795410156
2494017.39130435,-103.981704711914
2494678.26086957,-102.55248260498
2495339.13043478,-102.501251220703
2496000,-103.262275695801
2496660.86956522,-102.882217407227
2497321.73913043,-101.389495849609
2497982.60869565,-100.521476745605
2498643.47826087,-101.815078735352
2499304.34782609,-101.267799377441
2499965.2173913,-101.121398925781
2500626.08695652,-101.191795349121
2501286.95652174,-100.71183013916
2501947.82608696,-99.7807998657227
2502608.69565217,-97.658561706543
2503269.56521739,-94.2857208251953
2503930.43478261,-93.2911987304688
2504591.30434783,-95.9116363525391
2505252.17391304,-97.8731384277344
2505913.04347826,-97.9692459106445
2506573.91304348,-97.4283905029297
2507234.7826087,-97.5578384399414
2507895.65217391,-97.3025360107422
2508556.52173913,-95.9905548095703
2509217.39130435,-96.783073425293
2509878.26086957,-97.5709457397461
2510539.13043478,-98.9442749023438
2511200,-101.816696166992
2511860.86956522,-100.371864318848
2512521.73913043,-100.656387329102
2513182.60869565,-105.749130249023
2513843.47826087,-105.874557495117
2514504.34782609,-106.037223815918
2515165.2173913,-104.222518920898
2515826.08695652,-104.617958068848
2516486.95652174,-104.962501525879
2517147.82608696,-104.365142822266
2517808.69565217,-103.885292053223
2518469.56521739,-104.066757202148
2519130.43478261,-103.246109008789
2519791.30434783,-103.142761230469
2520452.17391304,-102.138465881348
2521113.04347826,-103.091537475586
2521773.91304348,-102.78271484375
2522434.7826087,-102.114166259766
2523095.65217391,-101.015151977539
2523756.52173913,-100.745529174805
2524417.39130435,-100.083992004395
2525078.26086957,-99.1499938964844
2525739.13043478,-99.9760513305664
2526400,-98.7129440307617
2527060.86956522,-97.7880935668945
2527721.73913043,-96.1661224365234
2528382.60869565,-94.5576934814453
2529043.47826087,-95.0458602905273
2529704.34782609,-98.4503631591797
2530365.2173913,-99.6814575195313
2531026.08695652,-102.00301361084
2531686.95652174,-95.7263412475586
2532347.82608696,-88.9029006958008
2533008.69565217,-88.0727462768555
2533669.56521739,-94.42919921875
2534330.43478261,-95.8448028564453
2534991.30434783,-97.3073043823242
2535652.17391304,-98.1316452026367
2536313.04347826,-99.8737182617188
2536973.91304348,-99.1524047851563
2537634.7826087,-99.3354873657227
2538295.65217391,-100.57039642334
2538956.52173913,-102.152847290039
2539617.39130435,-104.322174072266
2540278.26086957,-102.34049987793
2540939.13043478,-103.386276245117
2541600,-102.789070129395
2542260.86956522,-101.460220336914
2542921.73913043,-100.604095458984
2543582.60869565,-100.346321105957
