GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),2.343784,AUTO
Start Frequency,2126200
Stop Frequency,2131200
Frequency Offset,0
Average Type,Log Pwr
RBW,10,MAN
VBW,1,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
2126200,-115.442695617676
2126210.86956522,-111.549324035645
2126221.73913043,-111.437393188477
2126232.60869565,-111.590316772461
2126243.47826087,-107.494361877441
2126254.34782609,-107.04923248291
2126265.2173913,-115.971603393555
2126276.08695652,-111.557174682617
2126286.95652174,-114.233711242676
2126297.82608696,-111.412734985352
2126308.69565217,-112.153938293457
2126319.56521739,-113.639205932617
2126330.43478261,-113.952987670898
2126341.30434783,-116.940162658691
2126352.17391304,-114.181900024414
2126363.04347826,-112.547668457031
2126373.91304348,-110.316207885742
2126384.7826087,-108.251480102539
2126395.65217391,-109.232620239258
2126406.52173913,-110.813903808594
2126417.39130435,-113.926483154297
2126428.26086957,-115.133499145508
2126439.13043478,-114.821266174316
2126450,-112.936111450195
2126460.86956522,-113.055801391602
2126471.73913043,-110.573219299316
2126482.60869565,-111.970497131348
2126493.47826087,-110.214477539063
2126504.34782609,-113.498405456543
2126515.2173913,-111.51163482666
2126526.08695652,-111.286163330078
2126536.95652174,-112.019134521484
2126547.82608696,-112.010765075684
2126558.69565217,-109.438293457031
2126569.56521739,-109.366683959961
2126580.43478261,-111.941200256348
2126591.30434783,-112.03670501709
2126602.17391304,-110.26106262207
2126613.04347826,-110.776107788086
2126623.91304348,-113.675331115723
2126634.7826087,-117.699722290039
2126645.65217391,-110.776351928711
2126656.52173913,-108.918769836426
2126667.39130435,-109.805236816406
2126678.26086957,-108.713203430176
2126689.13043478,-109.602607727051
2126700,-110.717239379883
2126710.86956522,-110.920204162598
2126721.73913043,-114.658470153809
2126732.60869565,-115.854423522949
2126743.47826087,-111.596664428711
2126754.34782609,-112.335052490234
2126765.2173913,-110.852638244629
2126776.08695652,-110.478744506836
2126786.95652174,-111.563377380371
2126797.82608696,-116.365417480469
2126808.69565217,-113.245124816895
2126819.56521739,-114.115493774414
2126830.43478261,-113.992652893066
2126841.30434783,-112.376907348633
2126852.17391304,-111.29264831543
2126863.04347826,-113.05891418457
2126873.91304348,-112.369316101074
2126884.7826087,-116.859481811523
2126895.65217391,-118.481140136719
2126906.52173913,-112.256378173828
2126917.39130435,-111.683280944824
2126928.26086957,-109.927848815918
2126939.13043478,-110.135749816895
2126950,-109.041748046875
2126960.86956522,-108.89478302002
2126971.73913043,-111.443832397461
2126982.60869565,-110.60001373291
2126993.47826087,-111.398399353027
2127004.34782609,-113.395126342773
2127015.2173913,-113.317855834961
2127026.08695652,-112.965293884277
2127036.95652174,-115.768142700195
2127047.82608696,-115.698951721191
2127058.69565217,-116.352355957031
2127069.56521739,-116.418838500977
2127080.43478261,-112.133003234863
2127091.30434783,-114.538696289063
2127102.17391304,-116.213745117188
2127113.04347826,-114.780708312988
2127123.91304348,-115.706825256348
2127134.7826087,-112.518936157227
2127145.65217391,-114.913681030273
2127156.52173913,-116.039451599121
2127167.39130435,-120.36743927002
2127178.26086957,-119.420059204102
2127189.13043478,-120.681076049805
2127200,-117.986305236816
2127210.86956522,-116.900001525879
2127221.73913043,-114.624946594238
2127232.60869565,-110.548789978027
2127243.47826087,-112.086463928223
2127254.34782609,-115.611877441406
2127265.2173913,-118.673263549805
2127276.08695652,-113.877815246582
2127286.95652174,-113.665557861328
2127297.82608696,-113.953079223633
2127308.69565217,-110.923545837402
2127319.56521739,-112.126831054688
2127330.43478261,-112.688255310059
2127341.30434783,-116.211784362793
2127352.17391304,-116.495300292969
2127363.04347826,-115.786575317383
2127373.91304348,-112.265907287598
2127384.7826087,-113.809150695801
2127395.65217391,-115.470512390137
2127406.52173913,-115.589256286621
2127417.39130435,-116.844955444336
2127428.26086957,-115.792671203613
2127439.13043478,-112.738861083984
2127450,-114.227653503418
2127460.86956522,-116.685546875
2127471.73913043,-116.743370056152
2127482.60869565,-118.812698364258
2127493.47826087,-113.514747619629
2127504.34782609,-111.305862426758
2127515.2173913,-110.678421020508
2127526.08695652,-115.816688537598
2127536.95652174,-115.835929870605
2127547.82608696,-112.751754760742
2127558.69565217,-113.17366027832
2127569.56521739,-114.371337890625
2127580.43478261,-112.829032897949
2127591.30434783,-111.820152282715
2127602.17391304,-111.813453674316
2127613.04347826,-116.49063873291
2127623.91304348,-111.861824035645
2127634.7826087,-109.793533325195
2127645.65217391,-110.643669128418
2127656.52173913,-118.080375671387
2127667.39130435,-111.665626525879
2127678.26086957,-110.101333618164
2127689.13043478,-111.939437866211
2127700,-110.251373291016
2127710.86956522,-110.55492401123
2127721.73913043,-110.631828308105
2127732.60869565,-112.66911315918
2127743.47826087,-110.681709289551
2127754.34782609,-110.597694396973
2127765.2173913,-116.839836120605
2127776.08695652,-117.809875488281
2127786.95652174,-116.15113067627
2127797.82608696,-111.758308410645
2127808.69565217,-112.475303649902
2127819.56521739,-114.872406005859
2127830.43478261,-112.554573059082
2127841.30434783,-117.033088684082
2127852.17391304,-114.210739135742
2127863.04347826,-115.066146850586
2127873.91304348,-111.848419189453
2127884.7826087,-111.740814208984
2127895.65217391,-108.002944946289
2127906.52173913,-107.525886535645
2127917.39130435,-110.212692260742
2127928.26086957,-110.04052734375
2127939.13043478,-109.28978729248
2127950,-113.870796203613
2127960.86956522,-116.145286560059
2127971.73913043,-117.991645812988
2127982.60869565,-113.338172912598
2127993.47826087,-112.353141784668
2128004.34782609,-114.92081451416
2128015.2173913,-111.906143188477
2128026.08695652,-115.043663024902
2128036.95652174,-115.240516662598
2128047.82608696,-117.513290405273
2128058.69565217,-112.593444824219
2128069.56521739,-115.234580993652
2128080.43478261,-115.120544433594
2128091.30434783,-117.287887573242
2128102.17391304,-114.741836547852
2128113.04347826,-113.026527404785
2128123.91304348,-115.436729431152
2128134.7826087,-115.448425292969
2128145.65217391,-111.58479309082
2128156.52173913,-111.203544616699
2128167.39130435,-113.465385437012
2128178.26086957,-112.119422912598
2128189.13043478,-113.303665161133
2128200,-112.234436035156
2128210.86956522,-114.185577392578
2128221.73913043,-114.941329956055
2128232.60869565,-117.24983215332
2128243.47826087,-116.606842041016
2128254.34782609,-121.648559570313
