GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.189563,AUTO
Start Frequency,2500000
Stop Frequency,3000000
Frequency Offset,0
Average Type,Log Pwr
RBW,300,MAN
VBW,100,MAN
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,0
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
2500000,-98.9239501953125
2501086.95652174,-98.4177017211914
2502173.91304348,-96.2664642333984
2503260.86956522,-95.9673843383789
2504347.82608696,-98.6343460083008
2505434.7826087,-98.9454040527344
2506521.73913043,-95.9574127197266
2507608.69565217,-96.673713684082
2508695.65217391,-97.0388488769531
2509782.60869565,-95.7136993408203
2510869.56521739,-97.4641418457031
2511956.52173913,-92.7869262695313
2513043.47826087,-95.042594909668
2514130.43478261,-96.7886352539063
2515217.39130435,-98.8125076293945
2516304.34782609,-93.7590789794922
2517391.30434783,-93.7469635009766
2518478.26086957,-95.3763580322266
2519565.2173913,-95.3548049926758
2520652.17391304,-95.6566390991211
2521739.13043478,-93.0787353515625
2522826.08695652,-93.8913040161133
2523913.04347826,-91.6827545166016
2525000,-94.384407043457
2526086.95652174,-101.191452026367
2527173.91304348,-96.692008972168
2528260.86956522,-93.8407211303711
2529347.82608696,-90.1212768554688
2530434.7826087,-93.1352615356445
2531521.73913043,-93.2162628173828
2532608.69565217,-97.393684387207
2533695.65217391,-91.5686187744141
2534782.60869565,-92.4956970214844
2535869.56521739,-90.8086624145508
2536956.52173913,-93.1174468994141
2538043.47826087,-93.1183242797852
2539130.43478261,-93.9064483642578
2540217.39130435,-97.9155349731445
2541304.34782609,-91.1881408691406
2542391.30434783,-90.2457275390625
2543478.26086957,-92.51220703125
2544565.2173913,-93.4551315307617
2545652.17391304,-90.4895095825195
2546739.13043478,-91.9949722290039
2547826.08695652,-91.1172561645508
2548913.04347826,-89.3497467041016
2550000,-86.7406539916992
2551086.95652174,-93.3882293701172
2552173.91304348,-93.5563354492188
2553260.86956522,-90.4151306152344
2554347.82608696,-92.7559661865234
2555434.7826087,-94.6025085449219
2556521.73913043,-91.0498046875
2557608.69565217,-91.5536346435547
2558695.65217391,-90.87109375
2559782.60869565,-89.1843414306641
2560869.56521739,-92.7247085571289
2561956.52173913,-90.8131408691406
2563043.47826087,-88.9424743652344
2564130.43478261,-88.8243103027344
2565217.39130435,-88.3057250976563
2566304.34782609,-93.1378784179688
2567391.30434783,-91.796875
2568478.26086957,-86.2901306152344
2569565.2173913,-86.0645065307617
2570652.17391304,-85.097038269043
2571739.13043478,-84.5607757568359
2572826.08695652,-93.7173080444336
2573913.04347826,-85.8239822387695
2575000,-89.406364440918
2576086.95652174,-88.5428009033203
2577173.91304348,-91.8872528076172
2578260.86956522,-88.2518615722656
2579347.82608696,-89.1818008422852
2580434.7826087,-88.9379730224609
2581521.73913043,-90.45361328125
2582608.69565217,-89.8325805664063
2583695.65217391,-88.833625793457
2584782.60869565,-90.1054916381836
2585869.56521739,-90.2261123657227
2586956.52173913,-84.6273880004883
2588043.47826087,-90.9118041992188
2589130.43478261,-84.3411102294922
2590217.39130435,-83.8911819458008
2591304.34782609,-90.9413528442383
2592391.30434783,-86.526969909668
2593478.26086957,-87.9264907836914
2594565.2173913,-85.6321258544922
2595652.17391304,-85.340217590332
2596739.13043478,-85.1233139038086
2597826.08695652,-83.6947708129883
2598913.04347826,-84.0357437133789
2600000,-84.8448486328125
2601086.95652174,-84.8133544921875
2602173.91304348,-87.9747543334961
2603260.86956522,-82.1908798217773
2604347.82608696,-83.4737930297852
2605434.7826087,-80.1946258544922
2606521.73913043,-80.497802734375
2607608.69565217,-75.3866195678711
2608695.65217391,-78.5400848388672
2609782.60869565,-85.3252563476563
2610869.56521739,-82.7590408325195
2611956.52173913,-80.1497421264648
2613043.47826087,-78.5259552001953
2614130.43478261,-79.2215194702148
2615217.39130435,-77.4865036010742
2616304.34782609,-82.5253753662109
2617391.30434783,-78.5520858764648
2618478.26086957,-79.2588958740234
2619565.2173913,-76.3960494995117
2620652.17391304,-76.4168930053711
2621739.13043478,-77.5398559570313
2622826.08695652,-77.3758773803711
2623913.04347826,-76.5075149536133
2625000,-79.0932769775391
2626086.95652174,-76.9611587524414
2627173.91304348,-76.9357528686523
2628260.86956522,-77.5695343017578
2629347.82608696,-74.7649612426758
2630434.7826087,-78.0827484130859
2631521.73913043,-87.4726486206055
2632608.69565217,-85.1734237670898
2633695.65217391,-83.405876159668
2634782.60869565,-83.3625793457031
2635869.56521739,-80.7522964477539
2636956.52173913,-84.9074020385742
2638043.47826087,-78.1277313232422
2639130.43478261,-79.7605285644531
2640217.39130435,-84.5745086669922
2641304.34782609,-85.3793716430664
2642391.30434783,-81.3863830566406
2643478.26086957,-83.4707412719727
2644565.2173913,-80.5403518676758
2645652.17391304,-74.1752471923828
2646739.13043478,-81.9783630371094
2647826.08695652,-78.7273635864258
2648913.04347826,-77.1441879272461
2650000,-76.5384140014648
2651086.95652174,-74.4121856689453
2652173.91304348,-78.766731262207
2653260.86956522,-78.2875518798828
2654347.82608696,-78.0905303955078
2655434.7826087,-80.8010711669922
2656521.73913043,-80.8365707397461
2657608.69565217,-79.6481781005859
2658695.65217391,-74.3422622680664
2659782.60869565,-74.5697631835938
2660869.56521739,-73.2686462402344
2661956.52173913,-76.0993423461914
2663043.47826087,-71.2203826904297
2664130.43478261,-72.6468124389648
2665217.39130435,-74.7498931884766
2666304.34782609,-71.1327514648438
2667391.30434783,-72.086669921875
2668478.26086957,-70.5505676269531
2669565.2173913,-72.2748641967773
2670652.17391304,-69.978759765625
2671739.13043478,-65.9969024658203
2672826.08695652,-70.6563415527344
2673913.04347826,-73.0873718261719
2675000,-70.125862121582
2676086.95652174,-69.0764923095703
2677173.91304348,-70.0699768066406
2678260.86956522,-66.317253112793
2679347.82608696,-66.1311874389648
2680434.7826087,-72.9986801147461
2681521.73913043,-64.2247467041016
2682608.69565217,-65.1161499023438
2683695.65217391,-59.8709373474121
2684782.60869565,-58.2634887695313
2685869.56521739,-60.3182525634766
2686956.52173913,-64.8821716308594
2688043.47826087,-60.3569869995117
2689130.43478261,-60.0009498596191
2690217.39130435,-59.8801002502441
2691304.34782609,-60.9762916564941
2692391.30434783,-59.1471748352051
2693478.26086957,-52.8474159240723
2694565.2173913,-52.7998847961426
